title,author,condition,price
Various Artists - The Rough Guide to Scottish Folk (Third Edition),by Various Artists,Audio CD,£6.49
John Paul White - The Hurting Kind,by John Paul White,Audio CD,£7.99
The Unthanks - Diversions Vol.2: The Unthanks With Brighouse And Rastrick Brass Band,by The Unthanks,Audio CD,£7.99
Skipinnish - Western Ocean,by Skipinnish,Audio CD,£9.99
Scottish Fiddle Rally Concert Highlights,by Various Artists,Audio CD,£4.49
"Celtic Woman - Decade: Celebrating 10 Years: The Songs, The Show, The Tradition, The Classics",by Celtic Woman,Undefined,£20.99
Eliza Carthy - The Definitive Collection,by Eliza Carthy,Audio CD,£3.59
Sandy Denny - 5 Classic Albums,by Sandy Denny,Audio CD,£10.99
Sarah McQuaid - When Two Lovers Meet,by Sarah McQuaid,Audio CD,£4.49
"The Corries - Live from Scotland, Vol. 1",by The Corries,Audio CD,£5.49
June Tabor & Oysterband - Ragged Kingdom,by June Tabor & Oysterband,Audio CD,£4.99
The Oysterband - Ride,by The Oysterband,Audio CD,£3.59
Jesu/Sun Kil Moon - Jesu / Sun Kil Moon,by Jesu/Sun Kil Moon,Audio CD,£4.49
Frank Turner - FTHC,by Frank Turner,Audio CD,£4.49
"Various Artists - The All Time Greatest Country Songs: From The 60s, 70s, 80s And 90s",by Various Artists,Audio CD,£3.59
The Coral - Butterfly House,by The Coral,Audio CD,£6.49
Omnia - Alive!,by Omnia,Audio CD,£14.99
Heal & Harrow - Heal & Harrow,by Heal & Harrow,Audio CD,£6.99
Kate Rusby - Hand Me Down,by Kate Rusby,Audio CD,£20.99
Alison Krauss - Paper Airplane,by Alison Krauss,Audio CD,£3.59
Steeleye Span - Catch Up - The Essential Steeleye Span,by Steeleye Span,Audio CD,£17.99
Billy Bragg - Best Of Billy Bragg At The BBC 1983 - 2019,by Billy Bragg,Audio CD,£10.99
Mark Knopfler - Get Lucky,by Mark Knopfler,Audio CD,£4.49
"Crosby, Stills, Nash & Young - American Dream","by Crosby, Stills, Nash & Young",Audio CD,£3.59
Kate Rusby - 30 : Happy Returns,by Kate Rusby,Audio CD,£10.99
Live 2004,,Audio CD,£3.59
Various Artists - A Celebration Of Great British Folk,by Various Artists,Audio CD,£3.59
Kathryn Tickell & The Darkening - cloud horizons,by Kathryn Tickell & The Darkening,Audio CD,£20.99
The Waterboys - Where The Action Is (Deluxe),by The Waterboys,Audio CD,£10.99
John Prine - The Tree Of Forgiveness,by John Prine,Audio CD,£10.99
"Bon Iver - Bon Iver I, I",by Bon Iver,Audio CD,£4.99
Terry Oldfield - Earth Spirit,by Terry Oldfield,Audio CD,£3.99
"Crosby, David - Thousand Roads","by Crosby, David",Audio CD,£4.99
Phil Odgers - The Godforsaken Voyage,by Phil Odgers,Audio CD,£4.99
Live In London,,Audio CD,£4.99
The Young'uns - Tiny Notes,by The Young'uns,Audio CD,£20.99
Edward II - Dancing Tunes,by Edward II,Audio CD,£10.99
Lady Maisery - Cycle,by Lady Maisery,Audio CD,£8.99
Biograph,"by Dylan, Bob",Audio CD,£12.99
Fairport Convention - Shuffle And Go,by Fairport Convention,Audio CD,£20.99
Car Wheels On A Gravel Road,by Lucinda Williams,Audio CD,£3.59
Runrig - Proterra,by Runrig,Audio CD,£20.99
Various Artists - You Never Heard So Sweet,by Various Artists,Audio CD,£3.59
Nomad,by Martha Tilston,Audio CD,£10.99
Judy Collins - A Maid Of Constant Sorrow,by Judy Collins,Audio CD,£3.59
Al Stewart - Essential,by Al Stewart,Audio CD,£5.99
The Chieftains - Voice of Ages,by The Chieftains,Audio CD,£3.99
Jean Ritchie - Carols For All Seasons,by Jean Ritchie,Audio CD,£20.99
Civil Wars - Barton Hollow,by Civil Wars,Audio CD,£3.59
The Meadows - Dreamless Days,by The Meadows,Audio CD,£4.49
Richard Thompson - Acoustic Classics,by Richard Thompson,Audio CD,£20.99
Billy Bragg & Joe Henry - Shine A Light: Field Recordings from the Great American Railroad,by Billy Bragg & Joe Henry,Audio CD,£3.59
Ralph McTell - Somewhere Down The Road,by Ralph McTell,Audio CD,£4.49
"Suzanne Vega - Lover, Beloved: Songs From An Evening With Carson McCullers",by Suzanne Vega,Audio CD,£5.49
Alberta Cross - Broken Side Of Time,by Alberta Cross,Audio CD,£3.59
Newton Faulkner - Interference (of Light),by Newton Faulkner,Audio CD,£4.49
The Dubliners - At It Again!,by The Dubliners,Audio CD,£5.99
SMOKE FAIRIES - DARKNESS BRINGS THE WONDERS HOME,by SMOKE FAIRIES,Audio CD,£20.99
Siobhan Wilson - Say It's True,by Siobhan Wilson,Audio CD,£6.49
Iona - Woven Cord,by Iona,Audio CD,£30.99
Studio Zoo,,Audio CD,£3.59
Smoke Fairies - Through Low Light And Trees,by Smoke Fairies,Audio CD,£3.59
Greatest Hits Collection 3CD,by Bagatelle,Audio CD,£20.99
Judy Collins - Sings Lennon & Mccartney,by Judy Collins,Audio CD,£20.99
The Essential Paddy Reilly Collection,by Paddy Reilly,Audio CD,£15.99
Write It On Your Skin,,Audio CD,£3.59
Barclay James Harvest - Live Tapes,by Barclay James Harvest,Audio CD,£20.99
Tim Rose/Through Rose Coloure,by Tim Rose,Audio CD,£5.49
Irish Times,by Patrick Street,Audio CD,£5.49
Last,by The Unthanks,Audio CD,£3.59
Big Tom - Same Way You Came in,by Big Tom,Audio CD,£4.49
Horslips - The Book of Invasions: A Celtic Symphony,by Horslips,Audio CD,£12.99
III,by The Lumineers,Audio CD,£5.99
Karine Polwart & Dave Milligan - Still As Your Sleeping,by Karine Polwart & Dave Milligan,Audio CD,£10.99
Bella Hardy - Songs Lost & Stolen,by Bella Hardy,Audio CD,£3.59
Show Of Hands - Arrogance Ignorance And Greed,by Show Of Hands,Audio CD,£3.59
Nanci Griffith - From A Distance: The Very Best Of Nanci Griffith,by Nanci Griffith,Audio CD,£3.99
Various Artists - The Best Of Original British Lovers Rock Volume.1,by Various Artists,Audio CD,£20.99
The Gloaming - The Gloaming,by The Gloaming,Audio CD,£8.99
The Irish Rebel Collection (25 Great Patriot Songs),by Delia Murphy,Audio CD,£20.99
Ewan McLennan - Rags and Robes,by Ewan McLennan,Audio CD,£4.99
Sir Vincent Lone - Troubadour Heart,by Sir Vincent Lone,Audio CD,£20.99
Rapunzel And Sedayne - Songs From The Barley Temple,by Rapunzel And Sedayne,Audio CD,£7.49
The Best Of Donovan: Sunshine Superman,,Audio CD,£6.99
Loudon Wainwright III - Lifetime Achievement,by Loudon Wainwright III,Audio CD,£20.99
We Will Reign,,Audio CD,£20.99
"Kate Rusby - Philosophers, Poets & Kings",by Kate Rusby,Audio CD,£10.99
Back In Lochalsh,by Mairi Sine Campbell,Audio CD,£8.99
June Tabor - at the wood's heart,by June Tabor,Audio CD,£11.99
ZAGER & EVANS - In The Year 2525: The RCA Masters 1969-1970,by ZAGER & EVANS,Audio CD,£10.99
Various Artists - The Best of Original British Lovers Rock: Volume 2,by Various Artists,Audio CD,£26.99
Kris Kristofferson - Kris Kristofferson: Gold,by Kris Kristofferson,Audio CD,£20.99
The Fureys & Davey Arthur - The Best Of The Fureys & Davey Arthur,by The Fureys & Davey Arthur,Audio CD,£3.59
Richard Thompson - Strict Tempo!,by Richard Thompson,Audio CD,£7.99
Incredible String Band - Isb/5000 Spirits/Hangman's,by Incredible String Band,Audio CD,£10.99
Fischer - Il Mandarino,by Fischer,Audio CD,£4.99
The Greening Wind,by Steve Tilston,Audio CD,£3.59
Keywest - Ordinary Superhero,by Keywest,Audio CD,£10.99
Billy Bragg & Wilco - Mermaid Avenue Vol.2,by Billy Bragg & Wilco,Audio CD,£3.59
Neil Young - After The Gold Rush,by Neil Young,Audio CD,£4.49
Now That's What I Call Music! 31,by Various Artists,Audio CD,£3.59
Paradise Valley,,Audio CD,£3.59
"Devine, Sydney - The Best of Sydney Devine","by Devine, Sydney",Audio CD,£4.99
Belinda Sykes - In Hoary Winter's Night: Irish & English Songs of Wintertide,by Belinda Sykes,Audio CD,£20.99
Edgelarks (Phillip Henry & Hannah Martin) - Edgelarks,by Edgelarks (Phillip Henry & Hannah Martin),Audio CD,£4.99
Various Artists - Son Of Morris On,by Various Artists,Audio CD,£4.99
The Waterboys - Room To Roam (Collectors Edition),by The Waterboys,Audio CD,£12.99
"Stewart, Al - Orange/Past, Present And Future/Modern Times","by Stewart, Al",Audio CD,£16.99
Oysterband - Diamonds On The Water,by Oysterband,Audio CD,£3.59
Maddy Prior & Carnival Band - A Tapestry of Carols,by Maddy Prior & Carnival Band,Audio CD,£4.99
Kate Rusby - Life in a Paper Boat,by Kate Rusby,Audio CD,£20.99
"Melanie - Good Book, The/Gather Me",by Melanie,Audio CD,£39.99
Sharon Van Etten - We've Been Going About This All Wrong,by Sharon Van Etten,Audio CD,£20.99
Laura Marling - Alas I Cannot Swim,by Laura Marling,Audio CD,£3.59
Denis Murphy Julia Clifford - The Star Above The Garter,by Denis Murphy Julia Clifford,Audio CD,£4.99
Fisherman's Friends - Sole Mates,by Fisherman's Friends,Audio CD,£20.99
Treacherous Orchestra - Grind,by Treacherous Orchestra,Audio CD,£20.99
Skipinnish - Atlantic Roar,by Skipinnish,Audio CD,£17.99
The Light Came Down,by Josh Garrels,AudioCD,£22.99
Bellowhead - Broadside,by Bellowhead,Audio CD,£3.59
Rhiannon Giddens - Tomorrow Is My Turn,by Rhiannon Giddens,Audio CD,£5.49
Scocha - Bordering on,by Scocha,Audio CD,£20.99
Our Native Daughters (Featuring Rhiannon Giddens) - Songs Of Our Native Daughters,by Our Native Daughters (Featuring Rhiannon Giddens),Audio CD,£11.99
Alasdair Roberts and Robin Robertson - Hirta Songs,by Alasdair Roberts and Robin Robertson,Audio CD,£4.49
Robin Laing - Whiskey For Breakfast,by Robin Laing,Audio CD,£3.99
The Fureys - The Fureys Finest,by The Fureys,Audio CD,£6.49
Tommy Makem - Irish Favourites (25 Great Tracks From Ireland),by Tommy Makem,Audio CD,£20.99
Laura Marling - A Creature I Don't Know,by Laura Marling,Audio CD,£3.59
Various - SEA SHANTIES,by Various,Audio CD,£7.49
Various Artists - The Very Best of Disney,by Various Artists,Audio CD,£3.59
Vagabond,by Eddi Reader,Audio CD,£4.99
From The Sea To The City,by Trail West,Audio CD,£11.99
Seth Lakeman - Tales From The Barrel House,by Seth Lakeman,Audio CD,£3.59
Clannad - Legend,by Clannad,Audio CD,£3.99
Farrar,by Duncan Chisholm,Audio CD,£5.99
The Oldham Tinkers - An Introduction To,by The Oldham Tinkers,Audio CD,£7.99
Richard Thompson - Dream Attic (Deluxe Edition),by Richard Thompson,Audio CD,£3.99
Mark Knopfler - Privateering,by Mark Knopfler,Audio CD,£8.99
Blair Dunlop - Blight & Blossom,by Blair Dunlop,Audio CD,£6.99
Joni Mitchell & James Taylor - Paris Theatre 1970,by Joni Mitchell & James Taylor,Audio CD,£20.99
Mirror Blue,,Audio CD,£3.99
Duncan Chisholm - Canaich,by Duncan Chisholm,Audio CD,£8.99
O'Hooley & Tidow - 'The Fragile'. (Feat. Music used in the BBC TV Series Gentleman Jack'),by O'Hooley & Tidow,Audio CD,£5.49
Spiers & Boden - Fallow Ground,by Spiers & Boden,Audio CD,£11.99
"More Love, More Power: 25 Best Loved Live Worship Classics",,Audio CD,£25.99
Goldebriars - Walkin' Down The Line: The Best Of The Goldebriars,by Goldebriars,Audio CD,£4.49
James Blackshaw - Glass Bead Game,by James Blackshaw,Audio CD,£9.99
Shaggy - Shaggy- Live,by Shaggy,Audio CD,£10.99
"Cockburn, Bruce - Nothing But a Burning Light","by Cockburn, Bruce",Audio CD,£4.99
Fairport Convention - Moat On The Ledge + From Cropredy To Portmeirion + XXXV,by Fairport Convention,Audio CD,£21.99
Luke Jackson - More Than Boys,by Luke Jackson,Audio CD,£3.59
Margo - The World Through My Eyes,by Margo,Audio CD,£7.99
The Fureys & Davey Arthur - Golden Days,by The Fureys & Davey Arthur,Audio CD,£38.99
Dafydd Iwan - Bod Yn Rhydd / Gwinllan,by Dafydd Iwan,Audio CD,£3.99
Modern Studies - Swell To Great,by Modern Studies,Audio CD,£20.99
Let The Wind Blow High Or Low,by Jimmy Aldridge & Sid Goldsmith,Audio CD,£10.99
Martin Allcock - Ox15,by Martin Allcock,Audio CD,£4.49
Noel Hill & Tony Linnane - Noel Hill & Tony Linnane,by Noel Hill & Tony Linnane,Audio CD,£6.49
Williams Victoria - Loose,by Williams Victoria,Audio CD,£3.59
Shannon McNally - Small Town Talk,by Shannon McNally,Audio CD,£7.49
Iain Morrison - Sal,by Iain Morrison,Audio CD,£10.99
Various Artists - Classic Canadian Songs From Smithsonian Folkways,by Various Artists,Audio CD,£7.49
Rick Kemp - Perfect Blue,by Rick Kemp,Audio CD,£20.99
Strange Days,by Acoustic Junction,Audio CD,£17.99
O IV I V,by Ar Log,Audio CD,£8.99
"Loveless, Patty - Strong Heart","by Loveless, Patty",Audio CD,£3.59
Various - Together Love Duets,by Various,Audio CD,£3.59
Green Diesel - The Hangman's Fee,by Green Diesel,Audio CD,£8.99
Two Gallants - Two Gallants,by Two Gallants,Audio CD,£3.59
Eric Bogle - The Colour of Dreams,by Eric Bogle,Audio CD,£4.49
The Best Of Ar Log,by Ar Log,Audio CD,£20.99
Cat Stevens - Cat Stevend - Greatest Hits,by Cat Stevens,Audio CD,£11.99
Nuala Kennedy - The New Shoes,by Nuala Kennedy,Audio CD,£7.49
Clannad - Macalla,by Clannad,Audio CD,£3.59
Tommy Scott - Scottish Serenity,by Tommy Scott,Audio CD,£3.59
Fernhill - Ca Nos,by Fernhill,Audio CD,£20.99
Vin Garbutt - Bandalised,by Vin Garbutt,Audio CD,£20.99
Red River Dialect - Abundance Welcoming Ghosts,by Red River Dialect,Audio CD,£20.99
Annie Dressner - Coffee At The Corner Bar,by Annie Dressner,Audio CD,£4.99
The Turtles - You Baby,by The Turtles,Audio CD,£20.99
Stivell Alan - Legend,by Stivell Alan,Audio CD,£13.99
Catriona McKay & Olov Johansson - Foogy,by Catriona McKay & Olov Johansson,Audio CD,£9.99
"Martyn, John - Live at Bristol 1991 Official Bootleg","by Martyn, John",Audio CD,£39.99
The Weavers - The Weavers At Carnegie Hall,by The Weavers,Audio CD,£33.99
Breen Ann - Red Is the Rose,by Breen Ann,Audio CD,£3.59
Various Artistes - Red Hot Piping - Penny Arcade,by Various Artistes,Audio CD,£3.59
John McNicholl - What's A Guy Gotta Do,by John McNicholl,Audio CD,£8.99
Various - Yule Cool,by Various,Audio CD,£3.59
There Was a Maid,by Dolores Keane,Audio CD,£20.99
Starr Will - Early Years Vol. 1,by Starr Will,Audio CD,£3.59
Ray Hearne - The Wrong Sunshine,by Ray Hearne,Audio CD,£5.49
Greatest Hits Live / For The Memories,"by McLean, Don",Audio CD,£20.99
The Felice Brothers - Favorite Waitress,by The Felice Brothers,Audio CD,£10.99
John Stewart - Gold,by John Stewart,Audio CD,£18.99
Kris Drever - Mark The Hard Earth (Remastered Version),by Kris Drever,Audio CD,£7.99
Bella Hardy - The Dark Peak & The White,by Bella Hardy,Audio CD,£5.49
Luke Daniels - The Cobhers,by Luke Daniels,Audio CD,£4.49
Josienne Clarke & Ben Walker - Overnight,by Josienne Clarke & Ben Walker,Audio CD,£5.49
Huseyin Turkmenler Ensemble - Traditional Songs From Turkey,by Huseyin Turkmenler Ensemble,Audio CD,£7.49
Michael McGoldrick - Arc,by Michael McGoldrick,Audio CD,£20.99
Nathaniel Rateliff & The Night Sweats - Tearing at the Seams (Deluxe),by Nathaniel Rateliff & The Night Sweats,Audio CD,£4.49
Dyble Longdon - Between A Breath And A Breath,by Dyble Longdon,Audio CD,£9.99
The Proclaimers - Let's Hear It For The Dogs,by The Proclaimers,Audio CD,£4.49
Norma Waterson & Eliza Carthy With The Gift Band - Anchor,by Norma Waterson & Eliza Carthy With The Gift Band,Audio CD,£5.99
Luke Jackson - Journals,by Luke Jackson,Audio CD,£9.99
Kila - Tog E Go Bog E: Take It Easy,by Kila,Audio CD,£3.59
Graham Nash - This Path Tonight,by Graham Nash,Audio CD,£7.49
Steeleye Span - Dodgy Bastards,by Steeleye Span,Audio CD,£20.99
Sweet Old World,by Lucinda Williams,Audio CD,£16.99
The Breath - Carry Your Kin,by The Breath,Audio CD,£6.49
Various Artists - Ultimate Guide To Welsh Folk (Compiled By Cerys Matthews),by Various Artists,Audio CD,£20.99
Kirsty Maccoll - Kite (1989),by Kirsty Maccoll,Audio CD,£3.59
Richard Thompson - Across A Crowded Room,by Richard Thompson,Audio CD,£7.99
Phil Odgers - A Fistful Of Covers,by Phil Odgers,Audio CD,£20.99
Leveret - New Anything,by Leveret,Audio CD,£10.99
Live At Celtic Connections,by Duncan Chisholm,Audio CD,£4.49
"Brennan, Moya - Maire","by Brennan, Moya",Audio CD,£3.59
Martin Carthy - An Introduction To,by Martin Carthy,Audio CD,£7.99
John Smith - Headlong,by John Smith,Audio CD,£20.99
Daniel O'Donnell - The Irish Album: 40 Classic Songs,by Daniel O'Donnell,Audio CD,£10.99
What the Night Delivers,by Scott Matthews,Audio CD,£20.99
Patricia Spero - Japanese Healing Harp,by Patricia Spero,Audio CD,£20.99
Fairport Convention - The Bonny Bunch Of Roses,by Fairport Convention,Audio CD,£20.99
Redpoint,by Duncan Chisholm,Audio CD,£4.49
Blancmange - Commercial Break,by Blancmange,Audio CD,£8.99
Murder Ballads,by Nick Cave & The Bad Seeds,Audio CD,£11.99
"The Bad Shepherds - Yan, Tyan, Tethera, Metheral",by The Bad Shepherds,Audio CD,£7.99
"Thompson, Richard - You? Me? Us?","by Thompson, Richard",Audio CD,£6.99
Great Lakes,by John Smith,Audio CD,£6.49
Fat Freddy's Drop - Live at the Matterhorn,by Fat Freddy's Drop,Audio CD,£17.99
No Frontiers,by Mary Black,Audio CD,£3.59
Roger McGuinn - Back From Rio,by Roger McGuinn,Audio CD,£3.59
Celtic Reflections,by Barry Douglas:Eimear Mcgowan,Audio CD,£20.99
The New Seekers - Songbook 1970-74,by The New Seekers,Audio CD,£20.99
Chris Wood - So Much to Defend,by Chris Wood,Audio CD,£20.99
Bagatelle - 30th Anniversary Collection,by Bagatelle,Audio CD,£15.99
Love Is Strange,by David Lindley,Audio CD,£13.99
Bellowhead - Bellowhead Live The Farewell,by Bellowhead,Audio CD,£20.99
Richard Thompson - The Old Kit Bag,by Richard Thompson,Audio CD,£3.59
Richard Thompson - Front Parlour Ballads,by Richard Thompson,Audio CD,£8.49
"St Agnes Fountain - Best Of St Agnes Fountain, The",by St Agnes Fountain,Audio CD,£5.49
"Coope, Boyes & Simpson - As If","by Coope, Boyes & Simpson",Audio CD,£6.99
Various - Line Dance Fever 3,by Various,Audio CD,£3.59
Msaki x Tubatsi - Synthetic Hearts,by Msaki x Tubatsi,Audio CD,£20.99
"Coope, Boyes & Simpson - Hindsight","by Coope, Boyes & Simpson",Audio CD,£13.99
Martyn John - Bless the Weather,by Martyn John,Audio CD,£4.99
Ian Matthews - Tigers Will Survive,by Ian Matthews,Audio CD,£20.99
Kirsty MacColl - Titanic Days (Deluxe Edition),by Kirsty MacColl,Audio CD,£20.99
Patty Griffin - Impossible Dream,by Patty Griffin,Audio CD,£4.49
Firelight Trio - Firelight Trio,by Firelight Trio,Audio CD,£10.99
The Music of our Scottish Homeland,by Various Artists,Audio CD,£6.49
Aidan O'Rourke - 365: Volume 1,by Aidan O'Rourke,Audio CD,£3.99
Ghost Dancers,by Clearwater,Audio CD,£3.59
Magna Carta W/ Rpo - Live At The Royal Albert Hall (1971),by Magna Carta W/ Rpo,Audio CD,£5.49
Michael Chapman - The Man Who Hated Mornings,by Michael Chapman,Audio CD,£6.99
Ronnie Drew - The Last Session A Fond Farewell,by Ronnie Drew,Audio CD,£7.49
Cyril Tawney - A Mayflower Garland,by Cyril Tawney,Audio CD,£20.99
"Uncle Earl - Waterloo, Tennessee",by Uncle Earl,Audio CD,£3.59
Patsy Reid - A Glint O' Scottish Fiddle,by Patsy Reid,Audio CD,£10.99
The Black Family,by The Black Family,Audio CD,£8.49
Brona McVittie - We Are The Wildlife,by Brona McVittie,Audio CD,£3.99
Cowboys For Indians,by Stephen Stills & David Crosby,Audio CD,£9.99
Jim Causley - Cyprus Well,by Jim Causley,Audio CD,£5.99
Various Artists - Reggae Country,by Various Artists,Audio CD,£11.99
Lauren MacColl & The MacCollective - Strewn With Ribbons,by Lauren MacColl & The MacCollective,Audio CD,£5.99
Justine - Justine (Digi- Pak),by Justine,Audio CD,£5.99
Leisure Society - The Sleeper/A Product Of The Ego Drain,by Leisure Society,Audio CD,£3.59
Down Memory Lane,by Isla Grant,Audio CD,£20.99
Jim Moray - Skulk,by Jim Moray,Audio CD,£5.99
Dublin City Ramblers - Best Of,by Dublin City Ramblers,Audio CD,£4.99
Charlie Gracie - Fabulous! Charlie Gracie (DVD) (NTSC) (US Import),by Charlie Gracie,DVD,£17.99
Sarah McLachlan - Rarities B-Sides and Other Stuff Volume 2,by Sarah McLachlan,Audio CD,£3.99
Martyn Bennett - Aye - The Best Of Martyn Bennett,by Martyn Bennett,Audio CD,£39.99
Cattle & Cane - Home,by Cattle & Cane,Audio CD,£4.99
Belshazzar's Feast - Frost Bites,by Belshazzar's Feast,Audio CD,£8.49
Love - Da Capo,by Love,Audio CD,£18.99
Leonard Cohen - The Spirit Of Radio (3cd),by Leonard Cohen,Audio CD,£20.99
Cecil Sharp Project - Cecil Sharp Project,by Cecil Sharp Project,Audio CD,£3.59
Edward II - Wicked Men,by Edward II,Audio CD,£3.59
Granny's Attic - Wheels Of The World,by Granny's Attic,Audio CD,£20.99
Roy Bailey - Why Does It Have to Be Me?,by Roy Bailey,Audio CD,£20.99
The Glencraig Scottish Dance Band - The Reel Party: Are Ye Askin',by The Glencraig Scottish Dance Band,Audio CD,£3.59
Rev Hammer - Industrial Sound and Magic,by Rev Hammer,Audio CD,£3.59
Seavaigers,by Chris Stout & Catriona McKay,Audio CD,£20.99
Isla Grant - By Request,by Isla Grant,Audio CD,£65.99
Woven Cord,,Audio CD,£3.59
JOHN MCNICHOLL - THE SINGLES,by JOHN MCNICHOLL,Audio CD,£6.99
Blazin' Fiddles - Live,by Blazin' Fiddles,Audio CD,£6.49
Band Of Hope - Rhythms and Reds,by Band Of Hope,Audio CD,£20.99
Various Artists - Good Humour For The Rest Of The Night (The Voice of The People Vol.25),by Various Artists,Audio CD,£7.99
Mr Mcfall'S Chamber - Birds & Beasts: Music By Martyn Bennett And Fraser Fifield,by Mr Mcfall'S Chamber,Audio CD,£20.99
John Otway & Wild Willy Barrett - Otway & Barrett + Deep And Meaningless,by John Otway & Wild Willy Barrett,Audio CD,£19.99
Baltimore Consort - On the Banks of Helicon: Early Music of Scotland,by Baltimore Consort,Audio CD,£6.99
Various - Line Dance Fever 2,by Various,Audio CD,£3.59
In the Flesh Live,"by Waters, Roger",Audio CD,£20.99
Highlander's Farewell,by Alasdair Fraser And Natalie Haas,Audio CD,£20.99
Eddi Reader - Back The Dogs EP,by Eddi Reader,Audio CD,£20.99
Michael Chapman - Deal Gone Down,by Michael Chapman,Audio CD,£8.49
Bob Fox & Stu Luckley - Box Of Gold,by Bob Fox & Stu Luckley,Audio CD,£10.99
Alison Brown Quartet,by Alison Brown Quartet,Audio CD,£10.99
Lick The Tins - Blind Man On A Flying Horse,by Lick The Tins,Audio CD,£24.99
The Staves - Blood I Bled,by The Staves,Audio CD,£20.99
Diversions,,Audio CD,£8.99
A.A. BONDY - When the Devil's Loose,by A.A. BONDY,Audio CD,£9.99
Green Diesel - After Comes The Dark,by Green Diesel,Audio CD,£11.99
Sandy Denny - Rendezvous,by Sandy Denny,Audio CD,£46.99
Promenade,by Lindisfarne,Audio CD,£20.99
Winds of Change,"by Fureys, the",Audio CD,£3.59
MARTIN BARRE - ORDER OF PLAY,by MARTIN BARRE,Audio CD,£11.99
Six Organs of Admittance - Companion Rises,by Six Organs of Admittance,Audio CD,£13.99
Stan Rogers - Turn Around,by Stan Rogers,Audio CD,£20.99
Reg Meuross - Faraway People,by Reg Meuross,Audio CD,£20.99
Various - Club Mix 96,by Various,Audio CD,£3.59
The Chieftains - Chieftains Vol 6: Bonaparte's Retreat,by The Chieftains,Audio CD,£19.99
Scottish Love Songs,by Browne Ronnie,Audio CD,£4.99
John Hiatt - Terms of My Surrender,by John Hiatt,Audio CD,£8.49
Reg Meuross - Raw (2CD),by Reg Meuross,Audio CD,£10.99
